,player_id,First Name,Last Name,Hand,Country,Height,Elo Rating,Clay Elo Rating,Hard Elo Rating,Grass Elo Rating,Carpet Elo Rating,n_games,last_game
49,105227,Marin,Cilic,R,CRO,198,1675.0,1456.0,1472.0,1565.0,1524.0,933,2024-02-03
50,111815,Cameron,Norrie,L,GBR,188,1675.0,1499.0,1508.0,1503.0,1500.0,365,2024-11-04
51,106218,Marcos,Giron,R,USA,180,1673.0,1496.0,1529.0,1562.0,1500.0,223,2024-10-28
52,210506,Alex,Michelsen,R,USA,193,1672.0,1439.0,1515.0,1531.0,1500.0,79,2024-12-18
53,210150,Jakub,Mensik,R,CZE,193,1669.0,1550.0,1556.0,1544.0,1500.0,49,2024-02-03
54,106415,Yoshihito,Nishioka,L,JPN,170,1666.0,1594.0,1532.0,1480.0,1500.0,285,2024-02-02
55,104731,Kevin,Anderson,R,RSA,203,1664.0,1512.0,1544.0,1512.0,1500.0,614,2023-07-31
56,144684,Alex,Molcan,L,SVK,178,1661.0,1523.0,1515.0,1522.0,1500.0,95,2024-02-02
57,144707,Mikael,Ymer,R,SWE,183,1658.0,1495.0,1445.0,1485.0,1500.0,152,2023-02-03
58,126128,Roman,Safiullin,R,RUS,185,1651.0,1532.0,1597.0,1483.0,1500.0,107,2024-11-04
59,105870,Yannick,Hanfmann,R,GER,193,1650.0,1486.0,1492.0,1540.0,1500.0,153,2024-09-10
60,200221,Alejandro,Davidovich Fokina,R,ESP,183,1650.0,1522.0,1502.0,1489.0,1500.0,233,2024-10-21
61,124187,Reilly,Opelka,R,USA,211,1649.0,1457.0,1567.0,1531.0,1500.0,188,2024-09-11
62,126214,Alejandro,Tabilo,L,CHI,188,1649.0,1490.0,1525.0,1534.0,1500.0,113,2024-02-03
63,105916,Marton,Fucsovics,R,HUN,188,1647.0,1545.0,1446.0,1486.0,1501.0,326,2024-02-02
64,144869,Tomas Martin,Etcheverry,R,ARG,196,1646.0,1474.0,1530.0,1498.0,1500.0,137,2024-02-03
65,208659,Giovanni,Mpetshi Perricard,R,FRA,203,1645.0,1547.0,1488.0,1504.0,1500.0,34,2024-10-28
66,105656,Marcelo,Arevalo,R,ESA,193,1641.0,1488.0,1514.0,1500.0,1500.0,51,2024-02-02
