,player_id,wikidata_id,First Name,Last Name,Hand,Country,Height,elo_rating,elo_clay_rating,elo_hard_rating,elo_grass_rating,elo_carpet_rating,max_elo_rating,min_elo_rating,n_games,last_game,n_wins,n_losses,n_titles,rank
39,201493,Q77178,Angelique,Kerber,L,GER,173,1722.0,1544.0,1528.0,1509.0,1513.0,1989.0,1478.0,788,2024-07-29,492,296,14,39
40,202663,Q722311,Magda,Linette,R,POL,171,1706.0,1568.0,1496.0,1514.0,1500.0,1750.0,1475.0,404,2024-11-13,198,206,3,40
41,215713,Q24955766,Anastasia,Potapova,R,RUS,175,1703.0,1525.0,1500.0,1451.0,1500.0,1771.0,1485.0,223,2024-10-07,120,103,2,41
42,211685,Q15867627,Rebecca,Sramkova,R,SVK,0,1701.0,1543.0,1540.0,1446.0,1500.0,1701.0,1480.0,51,2024-11-13,30,21,1,42
43,202429,Q34248,Camila,Giorgi,R,ITA,168,1699.0,1510.0,1555.0,1503.0,1500.0,1796.0,1487.0,414,2024-03-18,219,195,4,43
44,206420,Q23719121,Ekaterina,Alexandrova,R,RUS,175,1697.0,1522.0,1568.0,1490.0,1500.0,1828.0,1480.0,344,2024-10-07,193,151,5,44
45,215370,Q22957410,Bianca,Andreescu,R,CAN,170,1696.0,1495.0,1514.0,1535.0,1500.0,1902.0,1500.0,176,2024-10-21,109,67,3,45
46,210722,Q17381675,Elise,Mertens,R,BEL,179,1691.0,1554.0,1547.0,1505.0,1500.0,1908.0,1500.0,442,2024-10-14,268,174,8,46
47,201614,Q258877,Caroline,Garcia,R,FRA,177,1683.0,1462.0,1543.0,1520.0,1500.0,1896.0,1453.0,621,2024-09-09,352,269,11,47
48,201593,Q239751,Irina Camelia,Begu,R,ROU,181,1682.0,1547.0,1507.0,1532.0,1500.0,1790.0,1495.0,478,2024-10-07,245,233,5,48
49,213631,Q18003204,Marie,Bouzkova,R,CZE,180,1682.0,1526.0,1474.0,1513.0,1500.0,1754.0,1454.0,218,2024-11-13,113,105,1,49
50,220548,Q106293259,Peyton,Stearns,R,USA,0,1679.0,1517.0,1486.0,1506.0,1500.0,1682.0,1491.0,74,2024-09-25,37,37,1,50
51,201662,Q289365,Karolina,Pliskova,R,CZE,184,1677.0,1523.0,1556.0,1529.0,1500.0,1952.0,1448.0,664,2024-08-26,420,244,17,51
52,211701,Q3720044,Katerina,Siniakova,R,CZE,174,1675.0,1566.0,1470.0,1502.0,1500.0,1743.0,1464.0,414,2024-10-21,200,214,5,52
53,215785,Q29052147,Camila,Osorio,R,COL,162,1675.0,1508.0,1479.0,1472.0,1500.0,1690.0,1500.0,148,2024-11-15,82,66,2,53
54,201514,Q230242,Sorana,Cirstea,R,ROU,176,1671.0,1438.0,1549.0,1488.0,1520.0,1792.0,1483.0,648,2024-07-01,324,324,2,54
55,203501,Q766964,Taylor,Townsend,L,USA,170,1671.0,1543.0,1526.0,1506.0,1500.0,1674.0,1500.0,121,2024-11-13,52,69,0,55
56,211684,Q10636559,Magdalena,Frech,R,POL,171,1667.0,1450.0,1529.0,1510.0,1500.0,1698.0,1416.0,166,2024-11-13,67,99,1,56
57,201545,Q232445,Anastasija,Sevastova,R,LAT,169,1666.0,1472.0,1526.0,1507.0,1500.0,1876.0,1475.0,392,2024-02-26,218,174,4,57
58,216133,Q44465805,Xin Yu,Wang,R,CHN,182,1665.0,1488.0,1507.0,1559.0,1500.0,1699.0,1447.0,158,2024-10-28,71,87,0,58
59,206294,NOID,Yue,Yuan,R,CHN,184,1655.0,1545.0,1564.0,1526.0,1500.0,1686.0,1458.0,85,2024-10-28,43,42,1,59
60,213550,Q18679122,Sofia,Kenin,R,USA,170,1651.0,1502.0,1503.0,1550.0,1500.0,1895.0,1479.0,262,2024-10-28,146,116,5,60
61,206368,Q14618664,Veronika,Kudermetova,R,RUS,175,1650.0,1493.0,1494.0,1507.0,1500.0,1858.0,1498.0,306,2024-10-21,173,133,2,61
62,215337,Q22679891,Olga,Danilovic,L,SRB,0,1647.0,1524.0,1518.0,1488.0,1500.0,1647.0,1500.0,70,2024-10-21,38,32,2,62
63,201603,Q377658,Shelby,Rogers,R,USA,175,1638.0,1523.0,1499.0,1518.0,1500.0,1749.0,1478.0,269,2024-08-26,126,143,0,63
64,204427,Q17750103,Sara,Sorribes Tormo,R,ESP,176,1634.0,1507.0,1556.0,1499.0,1500.0,1771.0,1486.0,296,2024-11-13,148,148,2,64
65,211843,Q15642606,Anhelina,Kalinina,R,UKR,179,1633.0,1541.0,1507.0,1489.0,1500.0,1718.0,1478.0,167,2024-09-25,81,86,0,65
66,211713,Q20676333,Jaqueline,Cristian,R,ROU,180,1632.0,1525.0,1438.0,1544.0,1500.0,1679.0,1492.0,107,2024-11-13,53,54,0,66
67,220589,Q106312033,Elina,Avanesyan,R,ARM,0,1631.0,1602.0,1506.0,1543.0,1500.0,1678.0,1472.0,76,2024-10-21,38,38,0,67
68,220348,Q30082774,Diane,Parry,R,FRA,170,1629.0,1548.0,1575.0,1458.0,1500.0,1641.0,1444.0,98,2024-11-15,48,50,0,68
69,201696,Q89128,Laura,Siegemund,R,GER,168,1627.0,1477.0,1495.0,1556.0,1500.0,1757.0,1476.0,261,2024-11-13,127,134,2,69
70,220704,Q42675013,Clara,Tauson,R,DEN,182,1627.0,1515.0,1524.0,1508.0,1500.0,1701.0,1474.0,113,2024-11-15,60,53,2,70
71,205925,Q4725560,Aliaksandra,Sasnovich,R,BLR,174,1626.0,1522.0,1559.0,1454.0,1500.0,1784.0,1483.0,331,2024-10-21,165,166,0,71
72,201585,Q54670,Sloane,Stephens,R,USA,170,1625.0,1484.0,1486.0,1492.0,1500.0,1889.0,1499.0,541,2024-09-16,304,237,8,72
73,214459,Q90569642,Lucia,Bronzetti,R,ITA,0,1624.0,1518.0,1530.0,1474.0,1500.0,1624.0,1488.0,129,2024-11-13,61,68,2,73
74,203530,Q7929924,Viktorija,Golubic,R,SUI,169,1620.0,1466.0,1547.0,1514.0,1500.0,1697.0,1496.0,231,2024-11-15,105,126,2,74
75,215219,Q29478863,Kaja,Juvan,R,SLO,170,1619.0,1533.0,1511.0,1510.0,1500.0,1656.0,1452.0,108,2024-01-15,53,55,0,75
76,216262,Q54086890,Clara,Burel,R,FRA,176,1608.0,1532.0,1494.0,1545.0,1500.0,1688.0,1469.0,118,2024-11-15,55,63,0,76
77,214452,Q34114014,Caroline,Dolehide,R,USA,178,1606.0,1489.0,1516.0,1513.0,1500.0,1624.0,1444.0,92,2024-10-21,37,55,0,77
78,211095,Q13850958,Bernarda,Pera,L,USA,175,1605.0,1490.0,1591.0,1515.0,1500.0,1687.0,1493.0,202,2024-10-28,90,112,2,78
79,210886,Q19577829,Mayar,Sherif,R,EGY,180,1605.0,1521.0,1513.0,1489.0,1500.0,1623.0,1417.0,118,2024-11-25,49,69,2,79
80,215983,Q39074494,Ann,Li,R,USA,170,1605.0,1526.0,1537.0,1466.0,1500.0,1667.0,1490.0,80,2024-10-28,41,39,1,80
81,201611,Q2446649,Daria,Saville,R,AUS,166,1601.0,1568.0,1476.0,1498.0,1500.0,1799.0,1478.0,319,2024-08-26,161,158,1,81
82,202536,Q3614850,Ana,Bogdan,R,ROU,171,1600.0,1524.0,1486.0,1478.0,1500.0,1648.0,1460.0,204,2024-11-13,90,114,0,82
83,216016,Q41799108,Xiyu,Wang,L,CHN,0,1600.0,1524.0,1590.0,1518.0,1500.0,1637.0,1470.0,145,2024-11-15,65,80,1,83
84,202684,Q17319111,Lin,Zhu,R,CHN,173,1599.0,1544.0,1553.0,1538.0,1500.0,1674.0,1488.0,197,2024-07-01,87,110,1,84
85,202492,Q4800760,Qiang,Wang,R,CHN,172,1598.0,1536.0,1478.0,1531.0,1500.0,1844.0,1452.0,284,2024-09-25,150,134,3,85
86,211279,Q20026221,Harriet,Dart,R,GBR,175,1597.0,1561.0,1497.0,1492.0,1500.0,1626.0,1449.0,119,2024-10-14,46,73,0,86
87,220332,Q86838090,Eva,Lys,R,GER,165,1596.0,1512.0,1541.0,1503.0,1500.0,1596.0,1500.0,38,2024-10-14,20,18,0,87
88,201548,Q2712407,Ajla,Tomljanovic,R,AUS,180,1595.0,1500.0,1484.0,1506.0,1500.0,1776.0,1446.0,375,2024-11-13,172,203,0,88
89,220714,Q48528654,Elisabetta,Cocciaretto,R,ITA,0,1593.0,1500.0,1497.0,1527.0,1500.0,1670.0,1483.0,119,2024-11-13,55,64,1,89
90,206374,Q15469035,Yafan,Wang,R,CHN,170,1591.0,1508.0,1574.0,1472.0,1500.0,1712.0,1481.0,155,2024-09-25,71,84,1,90
91,201518,Q228983,Yanina,Wickmayer,R,BEL,182,1591.0,1515.0,1482.0,1488.0,1523.0,1888.0,1488.0,472,2024-02-26,247,225,5,91
92,221909,Q105825572,Ashlyn,Krueger,R,USA,185,1588.0,1458.0,1464.0,1518.0,1500.0,1612.0,1435.0,60,2024-10-14,23,37,1,92
93,203533,Q138094,Anna Karolina,Schmiedlova,R,SVK,176,1587.0,1512.0,1487.0,1462.0,1500.0,1747.0,1449.0,304,2024-09-09,130,174,3,93
94,211817,Q20745254,Elena Gabriela,Ruse,R,ROU,0,1586.0,1515.0,1469.0,1570.0,1500.0,1628.0,1473.0,90,2024-09-25,38,52,1,94
95,201615,Q289378,Lesia,Tsurenko,R,UKR,174,1584.0,1492.0,1537.0,1525.0,1500.0,1782.0,1468.0,408,2024-11-15,192,216,4,95
96,202506,Q4134097,Margarita,Gasparyan,R,RUS,183,1584.0,1488.0,1478.0,1499.0,1500.0,1674.0,1472.0,109,2024-10-28,50,59,2,96
97,215138,Q61944757,Lulu,Sun,L,NZL,0,1582.0,1475.0,1496.0,1584.0,1500.0,1607.0,1474.0,25,2024-09-25,13,12,0,97
98,215480,Q47088527,Suzan,Lamens,R,NED,0,1581.0,1491.0,1450.0,1524.0,1500.0,1588.0,1479.0,31,2024-11-25,17,14,1,98
