player_id,wikidata_id,First Name,Last Name,Hand,Country,Height
200117,Q234480,Kveta,Peschke,R,CZE,165
200118,Q229093,Virginia,Ruano Pascual,R,ESP,169
200119,Q735029,Rita,Kuti Kis,L,HUN,176
200120,Q283958,Jelena,Dokic,R,AUS,175
200121,Q269057,Alina,Jidkova,R,RUS,168
200122,Q287267,Tina,Pisnik,R,SLO,172
200123,Q70284,Marlene,Weingartner,R,GER,174
200124,Q234906,Anne,Kremer,R,LUX,165
200125,Q225589,Corina,Morariu,R,USA,174
200126,NOID,Marissa,Irvin,R,USA,170
200127,Q3473420,Sarah,Pitkowski Malcor,R,FRA,0
200128,Q11677,Lindsay,Davenport,R,USA,189
200129,Q263129,Lesley,Turner,R,AUS,0
200130,NOID,Dorothy,Whitely,U,AUS,0
200131,Q22210616,Judith,Dibar,U,ROU,0
200132,NOID,Kay,Williams,U,AUS,0
200133,NOID,Eva,Duldig,R,NED,0
200134,Q18015513,Kerry,Ballard,U,AUS,0
200135,Q2019897,Lorraine,Coghlan,R,AUS,155
200136,NOID,Valerie,Caulley,U,AUS,0
200137,NOID,L,Griffiths,U,AUS,0
200138,NOID,Sandra,Hole,U,AUS,0
200139,Q6647376,Lita,Liem,L,INA,0
200140,NOID,Beryl,Jenkins,U,AUS,0
200141,Q17438332,Wendy,Gilchrist,L,AUS,0
200142,NOID,Loris,Butterfield,U,AUS,0
200143,Q1563355,Kathleen,Harter,R,USA,0
200144,Q202342,Margaret,Court,R,AUS,175
200145,Q454170,Kerry,Harris,R,AUS,173
200146,Q975605,Cynthia,Doerner,R,AUS,168
200147,NOID,Geri,Shepard,U,USA,0
200148,Q18015520,Marilyn,Tesch,U,AUS,0
200149,Q18012355,Helen,Sheedy,U,AUS,0
200150,Q228559,Evonne,Goolagong,R,AUS,168
200151,Q16120147,Ada,Bakker,U,NED,0
200152,Q461018,Gail,Sherriff,R,FRA,0
200153,NOID,Sheila,Washbourne,U,AUS,0
200154,NOID,Sandra,Stephen,U,AUS,0
200155,Q18012636,Lexie,Kenny,U,AUS,0
200156,Q18012361,Lynette,Mansfield,U,AUS,0
200157,NOID,Lynne,Nette,R,AUS,0
200158,NOID,Carol,Sherriff,R,AUS,0
200159,Q259328,Rosie,Casals,R,USA,157
200160,Q272065,Judy,Tegart,R,AUS,0
200161,NOID,Janine,Whyte,U,AUS,0
