Rank  Name                    Rating
190.  Roscoe Tanner                180.275
191.  Jean Julien Rojer             179.63
192.  Mauricio Hadad               179.322
193.  Wilhelm Bungert              178.216
194.  Roberto Carballes Baena      177.011
195.  Arthur Rinderknech            176.97
196.  Fernando Meligeni            176.654
197.  Marton Fucsovics             176.091
198.  Younes El Aynaoui             176.09
199.  Jan Hernych                  175.517
200.  Ricardas Berankis            175.167
201.  Flavio Saretta               174.625
202.  Felix Barrientos              174.33
203.  Gabriel Markus               173.848
204.  Wayne Ferreira               173.689
205.  Taylor Dent                  173.169
206.  Richey Reneberg               172.35
207.  Malivai Washington           171.172
208.  Petr Korda                   171.112
209.  Joao Fonseca                 171.024
210.  Ramon Delgado                 171.01
211.  Jimmy Connors                168.492
212.  Nikola Pilic                 167.857
213.  Tom Gullikson                167.574
214.  Ulf Stenlund                 167.056
215.  Wayne Black                  166.953
216.  Michael Llodra               166.942
217.  Paul Gerken                  166.496
218.  Dominique Bedel              166.409
219.  Filip Dewulf                 165.837
220.  Albert Costa                 165.605
221.  Wayne Arthurs                165.281
222.  Brian Fairlie                164.671
223.  Miomir Kecmanovic            164.647
224.  Michael Tauson                164.55
225.  John Cooper                   164.26
226.  Reilly Opelka                 163.93
227.  Manuel Orantes               163.478
228.  Cristian Garin               163.441
229.  Hank Pfister                 163.329
230.  Ryan Sweeting                163.149
231.  Kim Warwick                   163.04
232.  Jaime Fillol                 162.579
233.  Shlomo Glickstein            162.238
234.  Peter Szoke                  161.878
235.  Peter Wessels                161.769
236.  Greg Holmes                  161.691
237.  Gilles Simon                 161.286
238.  Botic Van De Zandschulp      160.904
239.  Jean Loup Rouyer             160.341
240.  John Andrews                 159.739
241.  Danie Visser                 159.706
242.  Vincent Van Patten           159.629
243.  Harald Elschenbroich         159.087
244.  Fritz Buehning               159.047
245.  Andrei Medvedev               158.83
246.  Chris Woodruff               158.659
247.  Jeff Borowiak                158.235
248.  Jan Siemerink                157.762
249.  Jimmy Arias                  157.739
250.  Quentin Halys                156.703
251.  Horacio Zeballos               156.6
252.  Chuck Adams                  155.481
253.  Mike Belkin                  155.472
254.  Eric Jelen                   154.517
255.  Frederico Gil                154.314
256.  Marcos Baghdatis             154.293
257.  Hans Jurgen Pohmann          153.225
258.  Kevin Curren                 152.682
259.  Jared Palmer                 152.207
260.  Vasek Pospisil               151.794
261.  Christian Kuhnke             151.644
262.  Greg Rusedski                151.455
263.  Paolo Bertolucci             150.297
264.  Owen Davidson                150.156
265.  Alvaro Jordan                150.068
266.  Guillermo Perez Roldan       149.366
267.  Christopher Oconnell         149.353
268.  Patrice Dominguez            149.239
269.  Alexander Volkov             148.871
270.  Kjell Johansson              148.435
271.  Thiago Seyboth Wild          147.759
272.  Young Dae Jeon               147.738
273.  Jackie Saul                   147.23
274.  Manuel Santana               147.119
275.  Derrick Rostagno             147.079
276.  Eduardo Bengoechea           146.705
277.  Barry Moir                   145.529
278.  Adriano Panatta               144.96
279.  Simone Bolelli               144.877
280.  Benjamin Bonzi               144.798
281.  Jarkko Nieminen              144.235
282.  Stan Wawrinka                143.887
283.  Marko Tkalec                 143.816
284.  Lleyton Hewitt               143.794
285.  Nuno Borges                  143.672
286.  Dominic Stricker             143.372
287.  Irakli Labadze               143.279
288.  George Hardie                143.151
289.  Szabolcz Baranyi             143.106
290.  Rolf Norberg                   143.0
291.  Olivier Delaitre             142.706
292.  Bu Yunchaokete               142.392
293.  Brett Steven                 142.269
294.  Hendrik Dreekmann            141.798
295.  Fabian Marozsan              141.683
296.  Marcos Hocevar               141.316
297.  Kamil Majchrzak              141.305
298.  Darian King                  141.233
299.  Bruce Manson                 140.644
300.  Doug Flach                    140.48
301.  Charlie Pasarell             140.464
302.  Toma Ovici                   140.435
303.  Matthias Bachinger           140.342
304.  Eric Fromm                   140.144
305.  Sandon Stolle                139.965
306.  Colin Dibley                 139.753
307.  Kevin Anderson               139.143
308.  Leif Johansson               138.867
309.  Jared Donaldson              138.503
310.  James Blake                  137.794
311.  Mal Anderson                 137.507
312.  Lorenzo Sonego               137.504
313.  Tsuyoshi Fukui                137.45
314.  Christian Bergstrom          137.322
315.  Thiago Monteiro              137.111
316.  Phil Dent                    137.033
317.  Mohammad Ghareeb             137.025
318.  Robert Wilson                136.787
319.  Karsten Braasch              136.598
320.  Paul Haarhuis                136.523
321.  Jurgen Fassbender            136.125
322.  Juan Gisbert                 135.665
323.  Robert Maud                  135.575
324.  Ken Fletcher                 135.277
325.  Vadim Borisov                134.886
326.  Mike Cahill                  134.177
327.  Eric Korita                   134.09
328.  Rinky Hijikata               133.611
329.  Henrik Holm                  133.084
330.  Dusan Lajovic                132.999
331.  Sebastian Baez                132.85
332.  Patrik Kuhnen                132.432
333.  Goran Ivanisevic             132.383
334.  Yibing Wu                    132.243
335.  Jun Kuki                     131.681
336.  Victor Amaya                 131.652
337.  Claudio Pistolesi            131.541
338.  Juncheng Shang                131.42
339.  Andrey Kuznetsov             131.015
340.  Jan Pisecky                  131.002
341.  Victor Pecci                 130.685
342.  Paul Mcnamee                 129.809
343.  Raemon Sluiter               129.696
344.  Nicolas Coutelot             129.643
345.  Luis Horna                   129.526
346.  Bernard Boileau              129.416
347.  Luis Ayala                   129.083
348.  Dave Randall                  128.85
349.  Nikolay Davydenko            128.739
350.  John Sadri                   128.508
351.  Tom Okker                    128.445
352.  Goran Prpic                  128.426
353.  Victor Hanescu               128.118
354.  Robert Vant Hof              127.904
355.  Bernard Mitton               127.651
356.  Jonas Svensson               127.526
357.  Thomas Muster                126.567
358.  Timofey Skatov               126.184
359.  Edouard Roger Vasselin       126.074
360.  Corentin Moutet               125.76
361.  John Isner                   125.664
362.  Hans Gildemeister            125.354
363.  Larry Stefanki                125.34
364.  Terry Rocavert               125.295
365.  Peter Bastiansen             125.279
366.  Tom Gorman                   125.195
367.  Peter Rennert                124.888
368.  Tore Meinecke                 124.79
369.  Jairo Velasco                124.678
370.  Slava Dosedel                124.378
371.  Philipp Kohlschreiber        124.142
372.  Andy Murray                  124.083
373.  Zhizhen Zhang                 123.87
374.  Gianni Ocleppo               123.647
375.  Robin Haase                  123.547
376.  Rolf Gehring                 123.392
377.  Dennis Ralston               123.379
378.  Febi Widhiyanto              123.322
379.  Guillermo Vilas              123.006
380.  Mark Dickson                 122.869
381.  Vladimir Voltchkov            122.79
382.  Amer Delic                   122.765
383.  Jan Frode Andersen           122.606
384.  Felix Mantilla               121.548
385.  Jack Sock                    121.065
386.  Geoff Masters                121.034
387.  Zsombor Piros                120.971
388.  Tim Gullikson                 120.97
