player_id,player_id.1,name_first,name_last,hand,country,height,elo_rating,elo_clay_rating,elo_hard_rating,elo_grass_rating,elo_carpet_rating,elo_unknown_rating
211084,211084,Emanuele,Scarfiotti,U,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
211085,211085,Claudio,Narbone,U,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
211100,211100,Scott,Barksdale,U,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
211101,211101,Dave,Hicks,U,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
211102,211102,Tommy,Lile,U,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
211087,211087,Giovanni,Travia,U,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
211088,211088,Luigi,Bianco,U,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
211089,211089,Giulio,Massara,U,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
211090,211090,Girolamo,Polimeni,U,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
211091,211091,Paolo,Lagana,U,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
211107,211107,Scott,Bristol,U,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
211108,211108,James,Provines,U,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
211109,211109,Wilhelm,Burgemeister,U,GER,0,0.0,0.0,0.0,0.0,0.0,0.0
211110,211110,Kurt,Hubalek,U,GER,0,0.0,0.0,0.0,0.0,0.0,0.0
211096,211096,Kay,Terry,U,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
211097,211097,Gordon,Blaylock,U,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
211098,211098,Tim,Pateracki,U,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
211099,211099,Ricky,Raybin,U,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
108242,108242,Sergio,Naufel,R,BRA,0,0.0,0.0,0.0,0.0,0.0,0.0
213281,213281,Tamas,Foldi,U,HUN,0,0.0,0.0,0.0,0.0,0.0,0.0
108244,108244,Sergio,Rico,R,MEX,0,0.0,0.0,0.0,0.0,0.0,0.0
108246,108246,Seth,Bowen,R,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
213280,213280,Boas Ole,Deden,U,NED,0,0.0,0.0,0.0,0.0,0.0,0.0
211103,211103,Randy,Jobson,U,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
211104,211104,Danny,Cox,U,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
211106,211106,Ron,Fick,U,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
108280,108280,Steen,Dannisgard,R,DEN,0,0.0,0.0,0.0,0.0,0.0,0.0
108281,108281,Stefan,Dahlberg,R,SWE,0,0.0,0.0,0.0,0.0,0.0,0.0
108333,108333,Suhel,Malhotra,R,IND,0,0.0,0.0,0.0,0.0,0.0,0.0
108334,108334,Sunil,Reddy,R,IND,0,0.0,0.0,0.0,0.0,0.0,0.0
108336,108336,Sven,Groeneveld,R,NED,0,0.0,0.0,0.0,0.0,0.0,0.0
108337,108337,Sven,Stadtlander,R,GER,0,0.0,0.0,0.0,0.0,0.0,0.0
108324,108324,Steven,Kasigwa,R,KEN,0,0.0,0.0,0.0,0.0,0.0,0.0
108325,108325,Steven,Leier,R,CAN,0,0.0,0.0,0.0,0.0,0.0,0.0
108286,108286,Stefan,Olsson,R,SWE,0,0.0,0.0,0.0,0.0,0.0,0.0
108287,108287,Stefan,Serbailo,R,UKR,0,0.0,0.0,0.0,0.0,0.0,0.0
108288,108288,Stefan,Tzvetkov,R,BUL,0,0.0,0.0,0.0,0.0,0.0,0.0
108289,108289,Stefano,Carassai,R,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
108274,108274,Spencer,Kooshian,R,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
108276,108276,Spyros,Charalamdous,R,CYP,0,0.0,0.0,0.0,0.0,0.0,0.0
108278,108278,Stacey,Foster,R,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
108279,108279,Stanley,Shaw,R,GER,0,0.0,0.0,0.0,0.0,0.0,0.0
108291,108291,Stefano,Colombo,R,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
108292,108292,Stefano,Mastrogirolamo,R,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
108294,108294,Stelian,Gima,R,ROU,0,0.0,0.0,0.0,0.0,0.0,0.0
108296,108296,Stephan,Cambal,R,SUI,0,0.0,0.0,0.0,0.0,0.0,0.0
108282,108282,Stefan,Dallwitz,R,MEX,0,0.0,0.0,0.0,0.0,0.0,0.0
108283,108283,Stefan,Kohlmann,R,GER,0,0.0,0.0,0.0,0.0,0.0,0.0
108284,108284,Stefan,Lennholm,R,SWE,0,0.0,0.0,0.0,0.0,0.0,0.0
108285,108285,Stefan,Lohse,R,GER,0,0.0,0.0,0.0,0.0,0.0,0.0
211086,211086,A,Farina,U,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
108298,108298,Stephane,Oberer,R,SUI,0,0.0,0.0,0.0,0.0,0.0,0.0
108299,108299,Stephen,Enriquez,R,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
108300,108300,Stephen,Healy,R,NZL,0,0.0,0.0,0.0,0.0,0.0,0.0
108301,108301,Stephen,Heron,R,GBR,0,0.0,0.0,0.0,0.0,0.0,0.0
108302,108302,Stephen,Mandl,R,SUI,0,0.0,0.0,0.0,0.0,0.0,0.0
108305,108305,Stephen,Olagbegi,R,NGR,0,0.0,0.0,0.0,0.0,0.0,0.0
108290,108290,Stefano,Caroni,R,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
108353,108353,Tal,Harel,R,ISR,0,0.0,0.0,0.0,0.0,0.0,0.0
108338,108338,Svend Erik,Nielsen,R,DEN,0,0.0,0.0,0.0,0.0,0.0,0.0
108339,108339,Tad,Grattan,R,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
108340,108340,Tadeo,Morales,R,BRA,0,0.0,0.0,0.0,0.0,0.0,0.0
213279,213279,Nick,Beamish,U,NZL,0,0.0,0.0,0.0,0.0,0.0,0.0
100843,100843,Fred,Viancos,R,USA,185,0.0,0.0,0.0,0.0,0.0,0.0
211071,211071,Nino,Monda,U,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
211072,211072,Salvatore,Sanges,U,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
108366,108366,Terry,Ward,R,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
213276,213276,Michael,Wright,U,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
213275,213275,Moritz,Stroebel,U,GER,0,0.0,0.0,0.0,0.0,0.0,0.0
108358,108358,Teddy,Tanjung,R,INA,0,0.0,0.0,0.0,0.0,0.0,0.0
108359,108359,Teddy,Viator,R,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
108360,108360,Teimuraz,Kakoulia,R,RUS,0,0.0,0.0,0.0,0.0,0.0,0.0
108346,108346,Takanobu,Fujii,R,JPN,0,0.0,0.0,0.0,0.0,0.0,0.0
108347,108347,Takashi,Murakami,R,JPN,0,0.0,0.0,0.0,0.0,0.0,0.0
108308,108308,Steve,Ethier,R,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
108309,108309,Steve,Gunderson,R,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
108311,108311,Steve,Jung,R,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
108312,108312,Steve,Lang,R,NZL,0,0.0,0.0,0.0,0.0,0.0,0.0
108313,108313,Steve,Maloney,R,AUS,0,0.0,0.0,0.0,0.0,0.0,0.0
108363,108363,Terrell,Davis,R,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
108364,108364,Terry,Bennett,R,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
108365,108365,Terry,Deeth,R,AUS,0,0.0,0.0,0.0,0.0,0.0,0.0
108327,108327,Stewart,Keller,R,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
108328,108328,Stewart,Osborne,R,RSA,0,0.0,0.0,0.0,0.0,0.0,0.0
108329,108329,Stu,Saiki,R,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
108316,108316,Steve,Packham,R,AUS,0,0.0,0.0,0.0,0.0,0.0,0.0
108318,108318,Steve,Tourdo,R,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
108319,108319,Steve,Wiere,R,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
108320,108320,Steve,Wilson,R,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
108307,108307,Steve,Cornelissen,R,BEL,0,0.0,0.0,0.0,0.0,0.0,0.0
211050,211050,Markku,Autio,U,FIN,0,0.0,0.0,0.0,0.0,0.0,0.0
211051,211051,Peter,Ristau,U,GER,0,0.0,0.0,0.0,0.0,0.0,0.0
211052,211052,Eberhard,Wensky,U,GER,0,0.0,0.0,0.0,0.0,0.0,0.0
211053,211053,Adel,Talaat Farid,U,SUD,0,0.0,0.0,0.0,0.0,0.0,0.0
