player_id,elo_rating,player_name
200045,-110.498,Anthony Susanto
100209,-110.031,George Taylor
100622,-110.012,Patrizio Parrini
108579,-109.96,Zlatko Ivancic
100165,-109.941,Steve Siegel
107898,-109.89,Osamu Ishiguro
100247,-109.794,Rolf Thung
102362,-109.702,Amro Ghoneim
107026,-109.497,Francisco Mastelli
105085,-109.434,Artem Smirnov
106941,-108.806,Eno Polo
103009,-108.604,Razvan Sabau
110964,-108.426,Periclis Gavrilidis
124487,-108.088,Ernesto Vazquez Barreira
208055,-108.083,Ajeet Rai
100077,-108.073,Daniel Contet
100328,-107.914,Rand Evett
108747,-107.772,Dineshkanthan Thangarajah
202674,-107.714,Keith Brebnor
110879,-107.404,Alberto Laborde
102685,-106.643,Sebastien Graeff
106997,-106.302,Ferenc Csepai
100429,-106.221,Miguel Mir
101112,-106.046,Michele Fioroni
105467,-105.959,Jordi Munoz Abreu
105177,-105.755,Aditya Hari Sasongko
101576,-105.044,Ryuso Tsujino
110934,-104.965,Frithjof Prydz
126689,-104.959,Tadas Babelis
106106,-104.471,George Tsivadze
108431,-104.444,Tony Jonsson
125691,-104.388,Georges Logelin
100726,-104.26,Greg Whitecross
108012,-103.683,Piero Toci
110053,-103.329,Ian Beverly
105738,-103.319,Tsung Hua Yang
108610,-103.185,Tsolak Gevorgyan
104372,-103.1,Alex Bogdanovic
107374,-102.899,John Antonas
110969,-102.89,Bulent Altinkaya
101338,-102.85,Olivier Soules
101074,-102.722,Carlos Di Laura
100980,-101.908,Edvaldo Oliveira
108663,-101.893,Bjorn Munroe
100547,-101.637,Rocky Royer
100949,-101.618,Mauro Menezes
108927,-101.496,Edgar Hernandez Perez
100548,-101.335,Ivan Kley
102496,-101.32,Scott Willinsky
107728,-101.316,Massimo Di Domenico
106105,-101.239,Guilherme Clezar
111454,-101.099,Li Tu
102950,-101.072,Fernando Vicente
109957,-100.972,Gerry Perry
107091,-100.943,Gewan Maharaj
106601,-100.93,Aziz Zouhir
101161,-100.864,Thomas Haldin
100819,-100.713,Daniel Montes De Oca
100680,-100.653,Peter Johnston
107577,-100.616,Lorenzo Soriano
107425,-100.463,Jose Moreno
125708,-99.918,Song Kean Tan
100277,-99.888,Jacques Thamin
111065,-99.733,Mike Van Kauvenbergh
117356,-99.568,Cem Ilkel
110798,-99.506,Elias Bramly
106032,-99.313,Facundo Arguello
100413,-99.169,Ulrich Marten
109859,-99.113,Jimmy Parker
125572,-98.926,Hillel Rousseau
109878,-98.861,Franco Bartoni
110365,-98.816,Alan Haswell
107382,-98.789,John Farrington
108721,-98.564,Philippos Tsangaridis
100467,-98.441,Mark Turpin
125614,-98.411,Eduardo Gorostiaga
109834,-98.346,Dan Birchmore
125751,-98.282,Zainuddin Meah
100497,-98.188,Markus Gunthardt
105731,-98.151,Steven Diez
110866,-97.958,Christopher Gatt
111006,-97.917,William Brown
100031,-97.741,Dimitri Sturdza
100398,-97.725,Julio Goes
108800,-97.67,Alexander Lehnhoff
104656,-97.625,Haydn Lewis
108814,-97.154,Konstantinos Effraimoglou
108978,-97.014,Nick Van Rosberg
102630,-96.934,Slimane Saoudi
104868,-96.925,James Ward
109862,-96.857,Alex Kurucz
121908,-96.778,Naser Al Obaidly
100025,-96.709,Barry Phillips Moore
106442,-96.706,Abdul Khalek Nadini
202358,-96.674,Chun Hsin Tseng
110812,-96.552,Alexander Schad
211570,-96.41,Cesar Cruz
108021,-96.4,Pietro Marzano
107436,-96.339,Jose Guerrero
108651,-96.328,Sandor Martinez Breijo
111035,-96.194,Fu Shun Tang
111010,-96.182,Theo Storck
110984,-96.029,Selvarajoo Selvarajoo
101855,-96.023,Emmanuel Heussner
111042,-95.761,Yong Ho Chung
103007,-95.76,Mounir El Aarej
100557,-95.613,Jai Dilouie
122109,-95.529,Sanjar Fayziev
104800,-95.341,Mauricio Estivariz
125676,-95.303,Pieter Soeters
102069,-94.546,Andrei Rybalko
108757,-94.462,Jean Kome Loglo
107394,-94.428,John Peckskamp
105156,-94.425,Federico Zeballos
109848,-94.192,Danny Obryant
144854,-94.024,Rudolfs Mednis
106616,-93.75,Bernard Montrenaud
101728,-93.698,Laszlo Markovits
107611,-93.525,Lyuben Petrov
105853,-93.313,Tigre Hank
111080,-93.285,Nagy Kabaz
100357,-93.263,Bhanu Nunna
125695,-93.173,Chana Techasen
106277,-93.083,Ariez Elyaas Deen Heshaam
108304,-92.978,Stephen Myers
108972,-92.977,Ibrahim Abou Chahine
106706,-92.88,Cary Leeds
108782,-92.877,Mahammad Abid
108815,-92.823,Kojo Atiso
108751,-92.797,Bader Mohammed Almuqail
211571,-92.518,Daniels Tens
109743,-92.372,Paul Hutchins
108792,-92.34,Ognen Nikolovski
100400,-92.302,Hubertus Hoyt
108821,-92.17,Vladimir Margalitadze
101242,-92.155,Brad Pearce
100191,-92.116,Doug Crawford
102595,-91.663,Helge Koll
103201,-91.56,Adrian Garcia
104503,-91.384,Guillermo Hormazabal
108879,-91.351,Lawrence Tere
100406,-91.328,Greg Halder
125753,-91.216,Wai Ching Lee
109807,-91.122,Garry Slater
106232,-91.033,Roberto Cid
101171,-91.031,Armando Perez
100265,-90.914,Cliff Letcher
202909,-90.826,Frank McDonald
111000,-90.791,Yehoshua Shalem
109927,-90.755,G Turner Howard
103849,-90.632,Francesco Aldi
108896,-90.623,Shahzad Khan
108772,-90.468,Julius Tverijonas
102132,-90.248,Ivan Baron
105909,-90.165,Sam Barry
108487,-90.091,Waldemar Rogowski
110978,-89.972,Albert Teo
102204,-89.956,Nebojsa Djordjevic
110835,-89.922,Adrian Clarke
103894,-89.719,Phillip King
103914,-89.608,Omar Awadhy
107098,-89.523,Gilles Kremer
100402,-89.469,Francisco Gonzalez
107281,-89.421,Jan Zabrodsky
103820,-89.216,Alan Mackin
101224,-89.118,Kenny Thorne
108692,-89.043,Mohammed Al Nabhani
100323,-88.866,Givaldo Barbosa
108732,-88.851,Carlos Martin Navarro Vergara
117315,-88.721,Stepan Koudelka
102821,-88.637,Cecil Mamiit
211204,-88.605,Tracy Lake
105812,-88.553,David Agung Susanto
102031,-88.455,Sandor Noszaly
101550,-88.337,Al Parker
125685,-88.283,Fong Ling
105332,-88.183,Benoit Paire
101445,-88.094,Alessandro Baldoni
100355,-88.043,Victor Eke
100096,-88.022,Peter Burwash
108592,-88.01,Pavel Baranov
108691,-87.801,Khalid Al Nabhani
102405,-87.752,Mahesh Bhupathi
108959,-87.623,Eldad Campbell
106412,-87.602,Lucas Gomez
100327,-87.429,Willem Prinsloo
202523,-87.395,Simon Clarke
211229,-87.285,Alan Jackson
107456,-87.194,Juan Herrera
109309,-87.067,Steven Schranz
108749,-87.06,Sergis Kyratzis
101384,-87.058,Marco Filippeschi
100011,-87.025,Torben Ulrich
100596,-86.893,Bill Cowan
108407,-86.349,Tom Christensen
103165,-86.158,Gorka Fraile
101371,-86.157,Malcolm Allen
104847,-86.13,Adrien Bossel
108335,-86.117,Supoj Meesawad
102267,-86.071,Gwinyai Tongoona
107591,-86.043,Luis Bruguera
103131,-86.028,Michihisa Onoda
200250,-85.969,Mehluli Don Ayanda Sibanda
106950,-85.849,Enzo Vattuone
103899,-85.836,Stian Boretti
105606,-85.732,Mohsen Hossein Zade
211222,-85.652,J M Learmont
133018,-85.579,Michail Pervolarakis
104003,-85.508,Victor Crivoi
110804,-85.423,Jon Erik Ross
110784,-85.354,Kamel Harrad
111022,-85.327,Khaled Al Foudari
110943,-85.239,Adel Lahdhiri
